game_date,game_year,player_name,batter,pitcher,events,description,bb_type,launch_speed,launch_angle,hc_x,hc_y,hit_distance_sc,spray_angle,release_spin_rate,spin_rate_deprecated,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,home_team,away_team,inning,outs_when_up,stand,p_throws,balls,strikes,pfx_x,pfx_z,plate_x,plate_z
2023-03-26,2023,"Ohtani, Shohei",660271,477132,single,hit_into_play,ground_ball,104.9,7.0,180.07,113.43,117.0,-11.865060324685722,2587.0,,0.637,,0.9,1.0,0.0,LAD,LAA,4,2,L,L,0,0,-0.42,0.37,0.14,2.51
2023-03-26,2023,"Ohtani, Shohei",660271,477132,field_out,hit_into_play,fly_ball,109.9,38.0,183.33,69.48,350.0,-43.586135622184514,2484.0,,0.74,,0.0,0.0,0.0,LAD,LAA,6,2,L,L,2,1,-0.37,0.75,0.08,2.6
2023-03-27,2023,"Ohtani, Shohei",660271,592789,single,hit_into_play,line_drive,98.4,11.0,188.85,107.71,145.0,-15.151803787405044,2031.0,,0.886,,0.9,1.0,0.0,LAA,LAD,3,1,L,R,0,0,1.18,0.57,0.2,2.51
2023-03-27,2023,"Ohtani, Shohei",660271,592789,field_out,hit_into_play,fly_ball,95.9,44.0,104.0,75.75,311.0,-113.09320293259763,1631.0,,0.026,,0.0,0.0,0.0,LAA,LAD,1,0,L,R,1,0,-1.45,0.85,0.32,2.25
2023-03-27,2023,"Ohtani, Shohei",660271,592789,single,hit_into_play,fly_ball,67.5,40.0,93.44,116.52,212.0,-164.96016233246675,1950.0,,0.549,,0.9,1.0,0.0,LAA,LAD,5,1,L,R,1,0,0.14,0.63,1.0,2.89
2023-03-30,2023,"Ohtani, Shohei",660271,666205,single,hit_into_play,ground_ball,111.6,-3.0,166.42,106.4,38.0,-24.182866126469616,2313.0,,0.497,0.472,0.9,1.0,0.0,ATH,LAA,4,0,L,L,1,0,0.08,0.76,-0.27,3.06
2023-04-01,2023,"Ohtani, Shohei",660271,660261,field_out,hit_into_play,ground_ball,100.8,-6.0,160.54,163.59,23.0,47.35604504762599,1245.0,,0.303,0.29,0.0,0.0,0.0,ATH,LAA,1,2,L,R,1,1,-0.66,-0.04,0.25,2.65
2023-04-01,2023,"Ohtani, Shohei",660271,670124,single,hit_into_play,ground_ball,100.0,-3.0,160.54,102.38,37.0,-32.47536471871129,2154.0,,0.354,0.343,0.9,1.0,0.0,ATH,LAA,6,1,L,R,1,0,-0.02,1.07,0.19,3.39
2023-04-01,2023,"Ohtani, Shohei",660271,544727,field_out,hit_into_play,ground_ball,100.9,-7.0,148.42,147.83,11.0,44.26913132177574,2167.0,,0.277,0.266,0.0,0.0,0.0,ATH,LAA,8,0,L,R,1,1,-1.37,0.14,1.06,1.65
2023-04-01,2023,"Ohtani, Shohei",660271,660261,single,hit_into_play,line_drive,99.3,21.0,26.84,103.65,338.0,-167.72916817572712,2077.0,,0.363,0.45,0.9,1.0,0.0,ATH,LAA,3,0,L,R,0,1,-0.87,1.18,-0.57,3.26
